price;assess;bdrms;lotsize;sqrft;colonial;lprice;lassess;llotsize;lsqrft
300;349.1000061;4;6126;2438;1;6;6;9;8
370;351.5;3;9903;2076;1;6;6;9;8
191;217.6999969;3;5200;1374;0;5;5;9;7
195;231.8000031;3;4600;1448;1;5;5;8;7
373;319.1000061;4;6095;2514;1;6;6;9;8
466.2749939;414.5;5;8566;2754;1;6;6;9;8
332.5;367.7999878;3;9000;2067;1;6;6;9;8
315;300.2000122;3;6210;1731;1;6;6;9;7
206;236.1000061;3;6000;1767;0;5;5;9;7
240;256.2999878;3;2892;1890;0;5;6;8;8
285;314;4;6000;2336;1;6;6;9;8
300;416.5;5;7047;2634;1;6;6;9;8
405;434;3;12237;3375;1;6;6;9;8
212;279.2999878;3;6460;1899;0;5;6;9;8
227.3999939;232.8999939;4;3597;1760;1;5;5;8;7
240;303.7999878;4;5922;2000;0;5;6;9;8
285;305.6000061;3;7123;1774;1;6;6;9;7
268;266.7000122;3;5642;1376;1;6;6;9;7
310;326;4;8602;1835;1;6;6;9;8
266;294.2999878;3;5494;2048;1;6;6;9;8
270;318.7999878;3;7800;2124;1;6;6;9;8
225;294.2000122;3;6003;1768;0;5;6;9;7
150;208;4;5218;1732;0;5;5;9;7
247;239.6999969;3;9425;1440;1;6;5;9;7
275;294.1000061;3;6114;1932;0;6;6;9;8
230;267.3999939;3;6710;1932;0;5;6;9;8
343;359.8999939;3;8577;2106;1;6;6;9;8
477.5;478.1000061;7;8400;3529;1;6;6;9;8
350;355.2999878;4;9773;2051;1;6;6;9;8
335;385;4;15086;2829;0;6;6;10;8
251;224.3000031;3;5763;1630;1;6;5;9;7
235;251.8999939;4;6383;1840;1;5;6;9;8
361;354.8999939;4;9000;2066;1;6;6;9;8
190;212.5;4;3500;1702;0;5;5;8;7
360;452.3999939;4;10892;2750;1;6;6;9;8
575;518.0999756;5;15634;3880;1;6;6;10;8
209.0010071;289.3999939;4;6400;1854;1;5;6;9;8
225;268.1000061;2;8880;1421;0;5;6;9;7
246;278.5;3;6314;1662;1;6;6;9;7
713.5;655.4000244;5;28231;3331;1;7;6;10;8
248;273.2999878;4;7050;1656;1;6;6;9;7
230;212.1000061;3;5305;1171;0;5;5;9;7
375;354;5;6637;2293;1;6;6;9;8
265;252.1000061;3;7834;1764;1;6;6;9;7
417.5;475.5;4;8112;3733;0;6;6;9;8
253;256.7999878;3;5850;1536;1;6;6;9;7
315;279.2000122;4;6660;1638;1;6;6;9;7
264;313.8999939;3;6637;1972;1;6;6;9;8
255;279.7999878;2;15267;1478;0;6;6;10;7
210;198.6999969;3;5146;1408;1;5;5;9;7
180;221.5;3;6017;1812;1;5;5;9;8
250;268.3999939;3;8410;1722;1;6;6;9;7
250;282.2999878;4;5625;1780;1;6;6;9;7
209;230.6999969;4;5600;1674;1;5;5;9;7
258;287;4;6525;1850;1;6;6;9;8
289;298.7000122;3;6060;1925;1;6;6;9;8
316;314.6000061;4;5539;2343;0;6;6;9;8
225;291;3;7566;1567;0;5;6;9;7
266;286.3999939;4;5484;1664;1;6;6;9;7
471.25;482;5;15834;2617;1;6;6;10;8
335;384.2999878;4;8022;2321;1;6;6;9;8
495;543.5999756;4;11966;2638;1;6;6;9;8
279.5;336.5;4;8460;1915;1;6;6;9;8
380;515.0999756;4;15105;2589;1;6;6;10;8
325;437;4;10859;2709;0;6;6;9;8
220;263.3999939;3;6300;1587;1;5;6;9;7
215;300.3999939;3;11554;1694;0;5;6;9;7
240;250.6999969;3;6000;1536;1;5;6;9;7
725;708.5999756;5;31000;3662;0;7;7;10;8
230;276.2999878;3;4054;1736;1;5;6;8;7
306;388.6000061;2;20700;2205;0;6;6;10;8
425;252.5;3;5525;1502;0;6;6;9;7
318;295.2000122;4;92681;1696;1;6;6;11;7
330;359.5;3;8178;2186;1;6;6;9;8
225;249.8000031;3;18838;1294;0;5;6;10;7
111;202.3999939;4;4315;1535;1;5;5;8;7
268.125;254;3;5167;1980;1;6;6;9;8
244;306.7999878;4;7893;2090;1;5;6;9;8
295;318.2999878;3;6056;1837;1;6;6;9;8
236;259.3999939;3;5828;1715;0;5;6;9;7
202.5;258.1000061;3;6341;1574;0;5;6;9;7
219;232;2;6362;1185;0;5;5;9;7
242;252;4;4950;1774;1;5;6;9;7
